0.00  0.00  0.00 1 1 2.0000  0.0100  0.0000
0.00  0.00  0.00 1 2 2.0000  0.0100  0.0000
0.00  0.00  0.00 1 3 2.0000  0.0100  0.0000
0.00  0.00  0.00 1 4 2.0000  0.0100  0.0000
0.00  0.00  0.00 1 5 2.0000  0.0100  0.0000
0.00  0.00  0.00 1 6 2.0000  0.0100  0.0000
0.24  0.00  0.00 2 1 2.0000  0.0100  0.0000
0.24  0.00  0.00 2 2 2.0000  0.0100  0.0000
0.24  0.00  0.00 2 3 2.0000  0.0100  0.0000
0.24  0.00  0.00 2 4 2.0000  0.0100  0.0000
0.24  0.00  0.00 2 5 2.0000  0.0100  0.0000
0.24  0.00  0.00 2 6 2.0000  0.0100  0.0000
0.49  0.00  0.00 3 1 2.0000  0.0100  0.0000
0.49  0.00  0.00 3 2 2.0000  0.0100  0.0000
0.49  0.00  0.00 3 3 2.0000  0.0100  0.0000
0.49  0.00  0.00 3 4 2.0000  0.0100  0.0000
0.49  0.00  0.00 3 5 2.0000  0.0100  0.0000
0.49  0.00  0.00 3 6 2.0000  0.0100  0.0000
0.73  0.00  0.00 4 1 2.0000  0.0100  0.0000
0.73  0.00  0.00 4 2 2.0000  0.0100  0.0000
0.73  0.00  0.00 4 3 2.0000  0.0100  0.0000
0.73  0.00  0.00 4 4 2.0000  0.0100  0.0000
0.73  0.00  0.00 4 5 2.0000  0.0100  0.0000
0.73  0.00  0.00 4 6 2.0000  0.0100  0.0000
0.97  0.00  0.00 5 1 2.0000  0.0100  0.0000
0.97  0.00  0.00 5 2 2.0000  0.0100  0.0000
0.97  0.00  0.00 5 3 2.0000  0.0100  0.0000
0.97  0.00  0.00 5 4 2.0000  0.0100  0.0000
0.97  0.00  0.00 5 5 2.0000  0.0100  0.0000
0.97  0.00  0.00 5 6 2.0000  0.0100  0.0000
1.22  0.00  0.00 6 1 2.0000  0.0100  0.0000
1.22  0.00  0.00 6 2 2.0000  0.0100  0.0000
1.22  0.00  0.00 6 3 2.0000  0.0100  0.0000
1.22  0.00  0.00 6 4 2.0000  0.0100  0.0000
1.22  0.00  0.00 6 5 2.0000  0.0100  0.0000
1.22  0.00  0.00 6 6 2.0000  0.0100  0.0000
1.46  0.00  0.00 7 1 2.0000  0.0100  0.0000
1.46  0.00  0.00 7 2 2.0000  0.0100  0.0000
1.46  0.00  0.00 7 3 2.0000  0.0100  0.0000
1.46  0.00  0.00 7 4 2.0000  0.0100  0.0000
1.46  0.00  0.00 7 5 2.0000  0.0100  0.0000
1.46  0.00  0.00 7 6 2.0000  0.0100  0.0000
1.70  0.00  0.00 8 1 2.0000  0.0100  0.0000
1.70  0.00  0.00 8 2 2.0000  0.0100  0.0000
1.70  0.00  0.00 8 3 2.0000  0.0100  0.0000
1.70  0.00  0.00 8 4 2.0000  0.0100  0.0000
1.70  0.00  0.00 8 5 2.0000  0.0100  0.0000
1.70  0.00  0.00 8 6 2.0000  0.0100  0.0000
1.95  0.00  0.00 9 1 2.0000  0.0100  0.0000
1.95  0.00  0.00 9 2 2.0000  0.0100  0.0000
1.95  0.00  0.00 9 3 2.0000  0.0100  0.0000
1.95  0.00  0.00 9 4 2.0000  0.0100  0.0000
1.95  0.00  0.00 9 5 2.0000  0.0100  0.0000
1.95  0.00  0.00 9 6 2.0000  0.0100  0.0000
2.19  0.00  0.00 10 1 2.0000  0.0100  0.0000
2.19  0.00  0.00 10 2 2.0000  0.0100  0.0000
2.19  0.00  0.00 10 3 2.0000  0.0100  0.0000
2.19  0.00  0.00 10 4 2.0000  0.0100  0.0000
2.19  0.00  0.00 10 5 2.0000  0.0100  0.0000
2.19  0.00  0.00 10 6 2.0000  0.0100  0.0000
2.43  0.00  0.00 11 1 2.0000  0.0100  0.0000
2.43  0.00  0.00 11 2 2.0000  0.0100  0.0000
2.43  0.00  0.00 11 3 2.0000  0.0100  0.0000
2.43  0.00  0.00 11 4 2.0000  0.0100  0.0000
2.43  0.00  0.00 11 5 2.0000  0.0100  0.0000
2.43  0.00  0.00 11 6 2.0000  0.0100  0.0000
2.68  0.00  0.00 12 1 2.0000  0.0100  0.0000
2.68  0.00  0.00 12 2 2.0000  0.0100  0.0000
2.68  0.00  0.00 12 3 2.0000  0.0100  0.0000
2.68  0.00  0.00 12 4 2.0000  0.0100  0.0000
2.68  0.00  0.00 12 5 2.0000  0.0100  0.0000
2.68  0.00  0.00 12 6 2.0000  0.0100  0.0000
2.92  0.00  0.00 13 1 2.0000  0.0100  0.0000
2.92  0.00  0.00 13 2 2.0000  0.0100  0.0000
2.92  0.00  0.00 13 3 2.0000  0.0100  0.0000
2.92  0.00  0.00 13 4 2.0000  0.0100  0.0000
2.92  0.00  0.00 13 5 2.0000  0.0100  0.0000
2.92  0.00  0.00 13 6 2.0000  0.0100  0.0000
3.17  0.00  0.00 14 1 2.0000  0.0100  0.0000
