0,0,0,1,8250,0.2,1,"96117.399999999994+12805.799999999999i"
0,0,0,1,20370,0.2,1,"102123+10407.1i"
0,0,0,1,33030,0.2,1,"104841+9753.5900000000001i"
0,0,0,1,47970,0.2,1,"105834+12400.4i"
0,0,0,1,63090,0.2,1,"108831+9110.4699999999993i"
0,0,0,1,93090,0.2,1,"114129+10144.700000000001i"
0.24,0,0,2,8250,0.2,1,"98263.300000000003+13193.700000000001i"
0.24,0,0,2,20370,0.2,1,"104509+10690.200000000001i"
0.24,0,0,2,33030,0.2,1,"107259+9911.1800000000003i"
0.24,0,0,2,47970,0.2,1,"108558+12539.700000000001i"
0.24,0,0,2,63090,0.2,1,"111554+9044.6700000000001i"
0.24,0,0,2,93090,0.2,1,"116637+10185.9i"
0.49,0,0,3,8250,0.2,1,"99047.899999999994+13444.200000000001i"
0.49,0,0,3,20370,0.2,1,"105531+10815.4i"
0.49,0,0,3,33030,0.2,1,"108207+9964.2299999999996i"
0.49,0,0,3,47970,0.2,1,"109697+12518.9i"
0.49,0,0,3,63090,0.2,1,"113082+9100.6599999999999i"
0.49,0,0,3,93090,0.2,1,"117701+10197.299999999999i"
0.73,0,0,4,8250,0.2,1,"99163.5+13576.9i"
0.73,0,0,4,20370,0.2,1,"105770+10845.9i"
0.73,0,0,4,33030,0.2,1,"108407+9956.8700000000008i"
0.73,0,0,4,47970,0.2,1,"110027+12453.6i"
0.73,0,0,4,63090,0.2,1,"113616+9139.1200000000008i"
0.73,0,0,4,93090,0.2,1,"117976+10222.5i"
0.97,0,0,5,8250,0.2,1,"98880.100000000006+13642.299999999999i"
0.97,0,0,5,20370,0.2,1,"105452+10825.700000000001i"
0.97,0,0,5,33030,0.2,1,"108123+9900.7199999999993i"
0.97,0,0,5,47970,0.2,1,"109642+12331.1i"
0.97,0,0,5,63090,0.2,1,"113244+8857.2800000000007i"
0.97,0,0,5,93090,0.2,1,"117629+10137.200000000001i"
1.22,0,0,6,8250,0.2,1,"98003.600000000006+13598.1i"
1.22,0,0,6,20370,0.2,1,"104464+10738.6i"
1.22,0,0,6,33030,0.2,1,"107176+9774.4400000000005i"
1.22,0,0,6,47970,0.2,1,"108445+12161.4i"
1.22,0,0,6,63090,0.2,1,"112244+8486.4200000000001i"
1.22,0,0,6,93090,0.2,1,"116478+9945.2900000000009i"
1.46,0,0,7,8250,0.2,1,"97020.199999999997+13524.799999999999i"
1.46,0,0,7,20370,0.2,1,"103380+10631.1i"
1.46,0,0,7,33030,0.2,1,"106122+9635.1200000000008i"
1.46,0,0,7,47970,0.2,1,"107102+11973.5i"
1.46,0,0,7,63090,0.2,1,"111354+8089.6300000000001i"
1.46,0,0,7,93090,0.2,1,"115213+9746.0599999999995i"
1.7,0,0,8,8250,0.2,1,"96083.300000000003+13451.799999999999i"
1.7,0,0,8,20370,0.2,1,"102355+10529.6i"
1.7,0,0,8,33030,0.2,1,"105109+9512.6299999999992i"
1.7,0,0,8,47970,0.2,1,"105864+11822.299999999999i"
1.7,0,0,8,63090,0.2,1,"110820+7854.3599999999997i"
1.7,0,0,8,93090,0.2,1,"114043+9579.4099999999999i"
1.95,0,0,9,8250,0.2,1,"96012.899999999994+13430.200000000001i"
1.95,0,0,9,20370,0.2,1,"102305+10498.1i"
1.95,0,0,9,33030,0.2,1,"104993+9482.9899999999998i"
1.95,0,0,9,47970,0.2,1,"105774+11803.1i"
1.95,0,0,9,63090,0.2,1,"111082+7869.1300000000001i"
1.95,0,0,9,93090,0.2,1,"113909+9526.9899999999998i"
