0.0046088,0.0095122,0.029363,0.041252,0.033362,0.016417
0.0067285,0.0016193,0.020139,0.0080232,0.022673,0.0033665
0.018682,0.0080843,0.02192,0.077305,0.029962,0.0067336
0.04067,0.033061,0.018955,0.12101,0.011476,0.019657
0.055547,0.055461,0.063984,0.11161,0.06355,0.054473
0.031589,0.040167,0.071745,0.048166,0.081618,0.056816
0.070691,0.054992,0.0034044,0.079619,0.015132,0.023595
0.28833,0.26989,0.20689,0.30546,0.18582,0.23442
0.64186,0.62636,0.5641,0.66306,0.54892,0.6017
1.1212,1.1124,1.06,1.155,1.0585,1.1119
1.6775,1.6748,1.6333,1.7368,1.6496,1.7054
2.2254,2.2254,2.1885,2.3192,2.2222,2.2851
2.661,2.6607,2.6247,2.7822,2.6708,2.7405
2.8939,2.8924,2.8726,3.0035,2.924,2.9791
